Mouse_identifier,Cage.No,Sex,P.C.F,Diet.Code,Sequence_run_identifier,Energy.density,Energy,Prot.in.diet,CHO.in.diet,Fat.in.diet,eaten,eaten.P,eaten.C,eaten.F,eaten.energy,Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Biological.sample,Clostridia,Bacteroidia,Deferribacteres,Bacilli,Gammaproteobacteria,Firmicutes,Verrucomicrobiae,Mollicutes,Tenericutes,Spirochaetes,Deltaproteobacteria,Erysipelotrichi,Actinobacteria,Alphaproteobacteria,Betaproteobacteria,Sphingobacteria,Negativicutes,Cytophagia,Holophagae,Flavobacteria,TM7,Deinococci,Cyanobacteria,Synergistia,Epsilonproteobacteria,Ktedonobacteria,Fusobacteria,Solibacteres,Chlorobia,Acidobacteria,Gemmatimonadetes,BRC1,Thermolithobacteria,Chlamydiae,WS3,Chloroflexi,Opitutae,Aquificae,Elusimicrobia,Total Reads
116,29,M,33/20/48,SF09-056,TRTL_0211_16,3 kcal,MED,4149.34,2510.4,6024.96,3.06,12.7,7.69,18.45,38.84,116_cecum_1,116_cecum,cecum,82.5,7.56,0,5.97,1.7,1.55,0.57,0,0,0.12,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8452
117,30,F,33/20/48,SF09-056,TRTL_0211_17,3 kcal,MED,4149.34,2510.4,6024.96,2.87,11.91,7.21,17.3,36.42,117_cecum_1,117_cecum,cecum,42.04,44.53,7.54,0.86,1.24,0.58,2.94,0.05,0.11,0,0.01,0.09,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10065
118,33,M,14/29/57,SF09-062,TRTL_0211_64,3 kcal,MED,1760.33,3640.08,7154.64,3.68,6.48,13.41,26.35,46.24,118_cecum_1,118_cecum,cecum,46.76,40.78,2.26,1.85,2.3,1.61,0.69,3.13,0.53,0.05,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8146
119,35,M,14/57/29,SF09-065,TRTL_0211_19,3 kcal,MED,1760.33,7154.64,3640.08,3.08,5.42,22.05,11.22,38.69,119_cecum_1,119_cecum,cecum,79.22,7.76,6.63,0.81,2.4,0.55,1.08,0.76,0.26,0.01,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8403
120,36,F,14/57/29,SF09-065,TRTL_0211_20,3 kcal,MED,1760.33,7154.64,3640.08,2.67,4.7,19.13,9.73,33.56,120_cecum_1,120_cecum,cecum,72.73,14.9,6.15,2.67,0.78,0.76,0.14,0.89,0.07,0,0.01,0.84,0.02,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8551
121,37,M,42/29/29,SF09-068,TRTL_0211_65,3 kcal,MED,5280.97,3640.08,3640.08,2.93,15.45,10.65,10.65,36.74,121_cecum_1,121_cecum,cecum,70.69,6.69,13.03,2.79,4.95,0.69,0,0.34,0.63,0.01,0.04,0.04,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7560
122,38,F,42/29/29,SF09-068,TRTL_0211_22,3 kcal,MED,5280.97,3640.08,3640.08,2.68,14.14,9.74,9.74,33.62,122_cecum_1,122_cecum,cecum,75.81,14,4.31,2.37,0.35,2.28,0.1,0.36,0.26,0.04,0.07,0.03,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15070
123,39,M,23/38/38,SF09-071,TRTL_0211_23,3 kcal,MED,2891.96,4769.76,4769.76,3.68,10.63,17.53,17.53,45.7,123_cecum_1,123_cecum,cecum,76.84,12.23,7.22,1.11,1.15,0.86,0.09,0.19,0.19,0.01,0.06,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9839
124,40,F,23/38/38,SF09-071,TRTL_0211_24,3 kcal,MED,2891.96,4769.76,4769.76,2.46,7.11,11.73,11.73,30.58,124_cecum_1,124_cecum,cecum,62.39,17.97,11.41,1.18,2.72,1.79,0.48,1.81,0.13,0,0.01,0.07,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7450
125,41,M,60/20/20,SF09-045,TRTL_0211_25,4 kcal,High,10059.01,3347.2,3347.2,2.57,25.82,8.59,8.59,43,125_cecum_1,125_cecum,cecum,81.25,2.28,0.01,0.13,0.01,0.69,1.02,0.59,0.02,0,0,13.66,0.25,0,0.09,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15850
126,42,F,60/20/20,SF09-045,TRTL_0211_26,4 kcal,High,10059.01,3347.2,3347.2,2.19,22.04,7.33,7.33,36.71,126_cecum_1,126_cecum,cecum,81.07,0.74,0,0.15,0.02,2.93,2.05,0.09,0,0,0.01,12.67,0.23,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20517
127,43,M,5/75/20,sf09-048,TRTL_0211_27,4 kcal,high,838.25,12552,3347.2,2.91,2.44,36.49,9.73,48.65,127_cecum_1,127_cecum,cecum,87.26,6.49,0.21,0.32,0.13,0.44,0,0.95,0.44,0.04,0.01,3.56,0.11,0,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14187
128,44,F,5/75/20,sf09-048,TRTL_0211_28,4 kcal,high,838.25,12552,3347.2,2.41,2.02,30.19,8.05,40.25,128_cecum_1,128_cecum,cecum,88.93,4.87,0.09,0.18,0.02,0.86,0.77,0.01,0,0.03,0,3.94,0.08,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17199
129,45,M,5/20/75,sf09-051,TRTL_0211_29,4 kcal,high,838.25,3347.2,12552,2.54,2.13,8.5,31.89,42.52,129_cecum_1,129_cecum,cecum,39.52,20.37,33.09,1.88,0.71,0.87,1.36,1.32,0.15,0.32,0.03,0.3,0.03,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13522
130,46,F,5/20/75,sf09-051,TRTL_0211_30,4 kcal,high,838.25,3347.2,12552,3.28,2.75,10.98,41.18,54.9,130_cecum_1,130_cecum,cecum,52.46,18.15,15.91,1.6,4.88,1.89,0.23,3.51,0.83,0,0,0.24,0.04,0.1,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8318
131,47,M,33/48/20,SF09-054,TRTL_0211_31,4 kcal,HIGH,5532.46,8033.28,3347.2,2.93,16.19,23.51,9.79,49.49,131_cecum_1,131_cecum,cecum,76.98,7.48,0.01,0.16,0.04,1.11,0,0.13,0,0.01,0,13.75,0.3,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16474
132,48,F,33/48/20,SF09-054,TRTL_0211_32,4 kcal,HIGH,5532.46,8033.28,3347.2,2.29,12.64,18.36,7.65,38.64,132_cecum_1,132_cecum,cecum,66.87,0.5,0,0.05,0.01,12.4,0,0.02,0,0.01,0.01,19.59,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17001
133,49,M,33/20/48,SF09-057,TRTL_0211_33,4 kcal,HIGH,5532.45,3347.2,8033.28,2.53,13.97,8.46,20.29,42.72,133_cecum_1,133_cecum,cecum,78.54,14.17,0.58,1.21,0.12,2.38,0,2.69,0.12,0,0.03,0.03,0.03,0.01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10521
134,50,F,33/20/48,SF09-057,TRTL_0211_34,4 kcal,HIGH,5532.45,3347.2,8033.28,2.22,12.26,7.42,17.8,37.48,134_cecum_1,134_cecum,cecum,79.4,8.94,3.29,4.87,0.07,3.05,0,0.11,0.05,0.02,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55152
135,52,F,5/48/48,SF09-060,TRTL_0211_35,4 kcal,HIGH,838.25,8033.28,8033.28,2.92,2.45,23.49,23.49,49.43,135_cecum_1,135_cecum,cecum,65.42,21.58,0.01,1.7,2.47,6,0,0.73,0.03,0.18,0.03,1.61,0.06,0.01,0.1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10868
136,54,F,14/29/57,SF09-063,TRTL_0211_66,4 kcal,HIGH,2347.1,4853.44,9539.52,2.86,6.72,13.9,27.32,47.94,136_cecum_1,136_cecum,cecum,71.26,19.1,4.95,0.87,0.37,2.92,0,0.05,0,0.02,0.03,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225
137,55,M,14/57/29,SF09-066,TRTL_0211_37,4 kcal,HIGH,2347.1,9539.52,4853.44,2.53,5.94,24.13,12.28,42.35,137_cecum_1,137_cecum,cecum,86.84,2.55,1.68,0.6,1.18,1.06,0.07,0.07,0.01,0.04,0.02,5.66,0.12,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12040
138,56,F,14/57/29,SF09-066,TRTL_0211_38,4 kcal,HIGH,2347.1,9539.52,4853.44,2.35,5.51,22.39,11.39,39.29,138_cecum_1,138_cecum,cecum,87.14,5.03,0.07,0.16,0.17,0.9,0,0.01,0,0.04,0,5.99,0.1,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21391
139,57,M,42/29/29,SF09-069,TRTL_0211_67,4 kcal,HIGH,7041.3,4853.44,4853.44,2.29,16.14,11.12,11.12,38.39,139_cecum_1,139_cecum,cecum,78.69,14.09,1.5,1.98,0.07,1.32,0.01,0.01,0,0.02,0.03,2.27,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090
140,59,M,23/38/38,SF09-072,TRTL_0211_40,4 kcal,HIGH,3855.95,6359.68,6359.68,3.24,12.48,20.59,20.59,53.67,140_cecum_1,140_cecum,cecum,87.13,5.84,2.83,1.19,0.44,2.26,0,0.11,0.1,0.01,0,0.01,0.02,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38274
141,61,M,60/20/20,SF09-043,TRTL_0211_41,2 kcal,LOW,5029.5,1673.6,1673.6,3.3,16.61,5.53,5.53,27.66,141_cecum_1,141_cecum,cecum,51.52,21.43,20.54,1.46,1.2,1.45,2.2,0.09,0,0.01,0.04,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7852
142,62,F,60/20/20,SF09-043,TRTL_0211_42,2 kcal,LOW,5029.5,1673.6,1673.6,3.01,15.15,5.04,5.04,25.24,142_cecum_1,142_cecum,cecum,53.93,24.19,16.3,1.07,1.36,2.05,0.37,0.34,0.27,0.03,0.03,0.02,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13638
143,70,F,33/20/48,SF09-055,TRTL_0211_43,2 kcal,LOW,2766.23,1673.6,4016.64,3.81,10.53,6.37,15.3,32.2,143_cecum_1,143_cecum,cecum,49.27,27.88,15.09,1,0.68,2.14,2.82,0.86,0.18,0.03,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,10498
144,77,M,42/29/29,SF09-067,TRTL_0211_68,2 kcal,LOW,3520.65,2426.72,2426.72,4.11,14.46,9.96,9.96,34.38,144_cecum_1,144_cecum,cecum,68,18.76,7.32,0.4,2.05,0.71,2.3,0.27,0.01,0.11,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9029
145,82,F,60/20/20,SF09-044,TRTL_0211_45,3 kcal,MED,7544.25,2510.4,2510.4,2.31,17.4,5.79,5.79,28.97,145_cecum_1,145_cecum,cecum,50.5,42.26,4.25,0.6,0.03,2.19,0.01,0.03,0,0,0.01,0.02,0.04,0.02,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12011
146,83,M,5/75/20,sf09-047,TRTL_0211_46,3 kcal,med,628.69,9414,2510.4,3.18,2,29.95,7.99,39.93,146_cecum_1,146_cecum,cecum,54.57,21,7.49,1.14,4.71,2.94,0,4.26,1.46,0.01,0,0.78,0.01,0.11,1.38,0.03,0,0,0,0.09,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9806
147,84,F,5/75/20,sf09-047,TRTL_0211_47,3 kcal,med,628.69,9414,2510.4,2.66,1.68,25.08,6.69,33.44,147_cecum_1,147_cecum,cecum,59.58,25.11,6.22,0.63,0.11,1.02,0.01,4.53,2.13,0.04,0.02,0.05,0.01,0.01,0.53,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14761
148,87,M,33/48/20,SF09-053,TRTL_0211_48,3 kcal,MED,4149.34,6024.96,2510.4,3.22,13.36,19.4,8.08,40.83,148_cecum_1,148_cecum,cecum,65.45,25.36,3.21,1.71,0.48,2.07,0,1.15,0.33,0.11,0.01,0.07,0.02,0.01,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11764
149,88,F,33/48/20,SF09-053,TRTL_0211_49,3 kcal,MED,4149.34,6024.96,2510.4,2.7,11.2,16.26,6.77,34.23,149_cecum_1,149_cecum,cecum,51.44,28.25,12.35,1.21,0.49,5.46,0,0.04,0,0,0.04,0.71,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8535
150,89,M,33/20/48,SF09-056,TRTL_0211_50,3 kcal,MED,4149.34,2510.4,6024.96,3.33,13.81,8.35,20.05,42.2,150_cecum_1,150_cecum,cecum,64.94,24.05,5.6,1.65,1.31,1.68,0.57,0.02,0,0.02,0.02,0.1,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9976
151,90,F,33/20/48,SF09-056,TRTL_0211_51,3 kcal,MED,4149.34,2510.4,6024.96,2.79,11.56,6.99,16.79,35.34,151_cecum_1,151_cecum,cecum,44.6,35.63,13.89,0.77,0.31,1.93,2.09,0.21,0.06,0.01,0.03,0.46,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10743
152,93,M,14/29/57,SF09-062,TRTL_0211_52,3 kcal,MED,1760.33,3640.08,7154.64,3.38,5.94,12.3,24.17,42.41,152_cecum_1,152_cecum,cecum,52.34,43.09,0.01,0.63,0.48,1.1,1.88,0.3,0.06,0,0.01,0.01,0.01,0.02,0.04,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10113
153,96,F,14/57/29,SF09-065,TRTL_0211_53,3 kcal,MED,1760.33,7154.64,3640.08,2.72,4.79,19.45,9.9,34.14,153_cecum_1,153_cecum,cecum,42.34,39.55,14.16,1.08,0.16,1.96,0.08,0.02,0,0.09,0.01,0.49,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8693
154,98,F,42/29/29,SF09-068,TRTL_0211_54,3 kcal,MED,5280.97,3640.08,3640.08,2.56,13.5,9.3,9.3,32.11,154_cecum_1,154_cecum,cecum,39.51,47.67,6.17,0.57,0.61,1.8,1.29,0.62,0.12,0,0.02,0.07,0,0.01,1.53,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11470
155,99,M,23/38/38,SF09-071,TRTL_0211_56,3 kcal,MED,2891.96,4769.76,4769.76,3.66,10.58,17.45,17.45,45.48,155_cecum_1,155_cecum,cecum,38.85,27.31,27.09,1.26,0.72,1.85,0.24,1.89,0.57,0.1,0.03,0.02,0.01,0.03,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11790
156,100,F,23/38/38,SF09-071,TRTL_0211_56,3 kcal,MED,2891.96,4769.76,4769.76,2.78,8.04,13.26,13.26,34.56,156_cecum_1,156_cecum,cecum,39.87,41.21,10.21,0.74,3.63,2.33,0.79,0.53,0.28,0,0.02,0.03,0.01,0.03,0.3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9332
159,102,F,60/20/20,SF09-045,TRTL_0711_1,4 kcal,High,10059.01,3347.2,3347.2,2.13,21.39,7.12,7.12,35.62,159_cecum_1,159_cecum,cecum,61.29,1.54,0.01,9.69,0.13,0,0,0.1,0,0,0.03,25.43,1.7,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22573
160,103,M,5/75/20,sf09-048,TRTL_0711_2,4 kcal,high,838.25,12552,3347.2,2.63,2.21,33.06,8.82,44.08,160_cecum_1,160_cecum,cecum,70.16,14.79,0.14,2.3,4.39,0,0.31,1.44,0.36,0.01,0.04,5.55,0.22,0.02,0.03,0.01,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,20947
161,107,M,33/48/20,SF09-054,TRTL_0711_3,4 kcal,HIGH,5532.46,8033.28,3347.2,2.96,16.37,23.77,9.9,50.04,161_cecum_1,161_cecum,cecum,91.38,2.92,0,3.15,0.9,0,0.2,0.04,0.03,0,0,1.17,0.07,0.03,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,26088
162,110,F,33/20/48,SF09-057,TRTL_0711_4,4 kcal,HIGH,5532.45,3347.2,8033.28,2.35,13.01,7.87,18.89,39.78,162_cecum_1,162_cecum,cecum,66.68,11.82,0.36,13.6,1.7,0,0,4.68,0.61,0.04,0.15,0.08,0.04,0.08,0.02,0,0,0,0.04,0.04,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,4763
163,112,F,5/48/48,SF09-060,TRTL_0711_5,4 kcal,HIGH,838.25,8033.28,8033.28,2.8,2.35,22.49,22.49,47.33,163_cecum_1,163_cecum,cecum,67.65,13.28,0.56,6.48,9.28,0,0.02,0.37,0.08,0.01,0.02,1.97,0.12,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20356
164,113,M,14/29/57,SF09-063,TRTL_0711_6,4 kcal,HIGH,2347.1,4853.44,9539.52,3.64,8.53,17.64,34.68,60.85,164_cecum_1,164_cecum,cecum,81.41,2.19,0.74,2.14,2.01,0,0.15,0.22,0,0,0.04,0.47,0.26,3.05,0.39,0,0,0.82,0,6.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,8025
165,114,F,14/29/57,SF09-063,TRTL_0711_7,4 kcal,HIGH,2347.1,4853.44,9539.52,2.6,6.11,12.64,24.84,43.6,165_cecum_1,165_cecum,cecum,85.71,5.27,1.5,3.82,0.8,0,0,1.26,0.42,0,0.03,1.07,0.04,0.03,0.02,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,10021
166,115,M,14/57/29,SF09-066,TRTL_0711_8,4 kcal,HIGH,2347.1,9539.52,4853.44,2.77,6.49,26.4,13.43,46.32,166_cecum_1,166_cecum,cecum,97.9,1.08,0.1,0.33,0.11,0,0,0.24,0,0,0.01,0.24,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15681
167,116,F,14/57/29,SF09-066,TRTL_0711_9,4 kcal,HIGH,2347.1,9539.52,4853.44,2.29,5.38,21.85,11.11,38.34,167_cecum_1,167_cecum,cecum,59.73,18.85,0.77,3.38,12.05,0,0,3.82,0.4,0.01,0.01,0.7,0.1,0.01,0.09,0.03,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016
168,117,M,42/29/29,SF09-069,TRTL_0711_10,4 kcal,HIGH,7041.3,4853.44,4853.44,2.48,17.48,12.05,12.05,41.58,168_cecum_1,168_cecum,cecum,73.85,17.71,0.04,2.63,0.18,0,0.4,0.31,0.05,0,0.02,4.65,0.08,0.01,0.07,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19784
